x,y1,y2,y3
0.145901,2.462736,0.791096
0.139657,2.474836,0.787206
0.135650,2.482886,0.784604
0.129842,2.494986,0.780739
0.124282,2.507086,0.776868
0.120716,2.515136,0.774292
0.115549,2.527236,0.770473
0.110606,2.539336,0.766448
0.105878,2.551436,0.762587
0.099160,2.569611,0.756623
0.094932,2.581711,0.752682
0.090889,2.593811,0.748686
0.085147,2.611986,0.742904
0.079781,2.630161,0.736899
0.074767,2.648336,0.730856
0.070081,2.666511,0.724880
0.064304,2.690761,0.701195
0.059027,2.715011,0.387168
0.054206,2.739261,0.000008
0.049801,2.763511,0.000003
0.045775,2.787761,0.000010
0.040372,2.824161,0.000010
0.035646,2.860561,0.000010
0.029637,2.915186,0.000018
0.024706,2.969811,0.000013
0.019465,3.042661,0.000018
0.015410,3.115511,0.000020
0.010952,3.224811,0.000015
0.004178,3.552811,0.000025
