x,y1,y2,y3
0.004178,3.552811,0.000310
0.010952,3.224811,0.000207
0.015410,3.115511,0.000163
0.019465,3.042661,0.000133
0.024706,2.969811,0.000145
0.029637,2.915186,0.000135
0.035646,2.860561,0.000115
0.040372,2.824161,0.000133
0.045775,2.787761,0.000135
0.049801,2.763511,0.000125
0.054206,2.739261,0.014149
0.059027,2.715011,0.312266
0.064304,2.690761,0.710027
0.070081,2.666511,0.725010
0.074767,2.648336,0.731234
0.079781,2.630161,0.737100
0.085147,2.611986,0.742997
0.090889,2.593811,0.749007
0.094932,2.581711,0.752780
0.099160,2.569611,0.756739
0.105878,2.551436,0.762863
0.110606,2.539336,0.766663
0.115549,2.527236,0.770678
0.120716,2.515136,0.774340
0.124282,2.507086,0.777130
0.129842,2.494986,0.780959
0.135650,2.482886,0.784816
0.139657,2.474836,0.787289
